Model,Accuracy,Precision,Recall,F1 Score
AdaBoost,0.7868852459016393,0.8571428571428571,0.7272727272727273,0.7868852459016393
RandomForest,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746
GradientBoosting,0.7213114754098361,0.7352941176470589,0.7575757575757576,0.746268656716418
VotingClassifier,0.7213114754098361,0.75,0.7272727272727273,0.7384615384615385
